 Subject , Time , Location , Cost , Organizer Ranking , Past Events Ranking , Activity 1 , Activity 2 , Interactive , Food/Drink , Est. Attendees , Demographics ,
 AI Conference , Fri 8am-5pm , Austin Convention Center , $100 , 8/10 , 9/10 , Learning , Networking , Yes , Yes ,800, Tech professionals ,
 Film Festival , Sat 10am-10pm , LA Live , $20 , 9/10 , 8/10 , Film , Food , No , Yes ,3000, Movie buffs ,
 Beer Festival , Sat 12pm-6pm , Grant Park , $35 , 7/10 , 6/10 , Food/Drink , Music , Yes , Yes ,5000, Millennials ,
 Career Fair , Tues 10am-3pm , Boston Convention Center , Free , 5/10 , 4/10 , Networking , Learning , Yes , No ,1200, College students ,
 Food Festival , Sun 11am-9pm , Navy Pier , $15 , 8/10 , 7/10 , Food , Music , Yes , Yes ,10000, Families ,
 Music Festival , Fri 5pm-Sun 2am , Coachella Grounds , $300 , 10/10 , 10/10 , Music , Art , No , Yes ,125000, Millennials , 
 Tech Conference , Mon 8am-6pm , Las Vegas Center , $250 , 9/10 , 8/10 , Learning , Networking , Yes , Yes ,5000, Tech professionals ,
 Book Fair , Sat 9am-5pm , Downtown Library , Free , 6/10 , 7/10 , Learning , Shopping , Yes , No ,500, Bookworms ,
 Craft Fair , Sun 10am-4pm , Park Grounds , $5 , 8/10 , 9/10 , Shopping , Food , Yes , Yes ,2000, Crafters ,
 Night Market , Fri 6pm-12am , Event Grounds , $10 , 7/10 , 6/10 , Food , Shopping , Yes , Yes ,8000, Foodies ,
 Beer Festival , Sat 1pm-6pm , Park Grounds , $25 , 9/10 , 8/10 , Food/Drink , Music , Yes , Yes ,3000, Young professionals , 
 Hackathon , Fri 8am-Sun 6pm , College Campus , $10 , 7/10 , 5/10 , Learning , Networking , Yes , Yes ,300, College students ,
 County Fair , Thurs 12pm-11pm , Fairgrounds , $12 , 9/10 , 10/10 , Food , Rides , Yes , Yes ,15000, Families ,
 Music Festival , Sat 11am-10pm , Park Grounds , $85 , 8/10 , 6/10 , Music , Art , No , Yes ,4000, 20-30 somethings ,
